"","nom_sirops","correlation"
"25","MÛRE","0.0570709915896126"
"41","CLEMENTINE","0.235395605904719"
"39","ABRICOT","0.23690390119849"
"15","POMME FRAMBOISE CASSIS","0.23916398469504"
"6","CASSIS","0.240218737271063"
"44","POMME","0.247571162638615"
"9","FRAMBOISE","0.247619067762731"
"20","FRAISE DES BOIS","0.25145687384416"
"8","FRAISE","0.265738089693894"
"29","PECHE ABRICOT","0.266620226774665"
"35","PAMPLEMOUSSE","0.269561472197754"
"2","GRENADINE","0.29969917246023"
"12","ORANGE","0.315007484577364"
"22","CERISE GRIOTTE","0.332418512003053"
"31","FRUITS ROUGES","0.338621774339568"
"37","MULTIFRUITS","0.359450611116987"
"1","AGRUMES","0.364039272853541"
"19","FRUITS EXOTIQUES","0.389370414498175"
"14","PECHE","0.393619727793081"
"32","KIWI BANANE","0.398100231774616"
"10","FRUITS PASSION","0.402808318868561"
"45","FRAMB/CRANBERRY","0.409042682578708"
"34","POMME V.VANILLE","0.441555969004327"
"33","PECHE FRAMBOISE","0.445634739457217"
"24","MIRABELLE","0.445863719052468"
"43","MANGUE","0.447100846892951"
"42","KIWI","0.447763967192501"
"5","BANANE/FRAISE","0.449340351118619"
"17","THE PÊCHE","0.465870541489561"
"28","VIOLETTE","0.466795846421087"
"36","TROPICAL","0.510548226326425"
"27","PECHE BLANCHE","0.511796782571123"
"38","PINA COLADA","0.524711344415857"
"18","ABRICOT PASSION","0.532398612680446"
"13","PAMPLEM. ROSE","0.554184328192103"
"40","CERISE","0.554580232776667"
"16","CITRON","0.556168107338966"
"21","Peche blanche","0.560941526416527"
"7","CITRON VERT","0.599992819172827"
"3","MENTHE VERTE","0.635520415722518"
"30","RECETTE PROVENC","0.657550421671509"
"11","MOJITO","0.67043844435473"
"26","ORGEAT","0.686769264150048"
"4","ANIS","0.725688625927052"
"23","MENTHE GLACIALE","0.790000207048745"
